compound_name	SMILES	corrected_SMILES	formula	neutralized_formula	exact_mass
3,4,5-trimethoxycinnamic-acid	O=C(O)C=CC1=CC(OC)=C(OC)C(OC)=C1	O=C(O)C=CC1=CC(OC)=C(OC)C(OC)=C1	C12H14O5	C12H14O5	238.08412354907
3,4-dimethoxybenzoic-acid	O=C(O)C1=CC=C(OC)C(OC)=C1	O=C(O)C1=CC=C(OC)C(OC)=C1	C9H10O4	C9H10O4	182.05790880058
l-pipecolinic-acid	O=C(O)C1CCCCN1	O=C(O)C1CCCCN1	C6H11NO2	C6H11NO2	129.07897859809998
4-ethylbenzoic-acid	O=C(O)C1=CC=C(CC)C=C1	O=C(O)C1=CC=C(CC)C=C1	C9H10O2	C9H10O2	150.06807956144002
10-hydroxydecanoic-acid	O=C(O)CCCCCCCCCO	O=C(O)CCCCCCCCCO	C10H20O3	C10H20O3	188.14124450331002
heptadecanoic-acid	CCCCCCCCCCCCCCCCC(O)=O	CCCCCCCCCCCCCCCCC(O)=O	C17H34O2	C17H34O2	270.25588033496
12-hydroxydodecanoic-acid	O=C(O)CCCCCCCCCCCO	O=C(O)CCCCCCCCCCCO	C12H24O3	C12H24O3	216.17254463223
3-methoxybenzoic-acid	O=C(O)C1=CC=CC(OC)=C1	O=C(O)C1=CC=CC(OC)=C1	C8H8O3	C8H8O3	152.04734411655
2-naphthoic-acid	O=C(O)C1=CC=C2C=CC=CC2=C1	O=C(O)C1=CC=C2C=CC=CC2=C1	C11H8O2	C11H8O2	172.05242949697998
l-tert-leucine	N[C@@H](C(C)(C)C)C(O)=O	N[C@@H](C(C)(C)C)C(O)=O	C6H13NO2	C6H13NO2	131.09462866256
gemfibrozile	O=C(O)C(C)(C)CCCOc1cc(ccc1C)C	O=C(O)C(C)(C)CCCOc1cc(ccc1C)C	C15H22O3	C15H22O3	250.15689456777
4-methoxyphenylacetic-acid	O=C(O)CC1=CC=C(OC)C=C1	O=C(O)CC1=CC=C(OC)C=C1	C9H10O3	C9H10O3	166.06299418101
2-hydroxyl-quinoline-4-carboxylic-acid	O=C(C1=CC(O)=NC2=CC=CC=C12)O	O=C(C1=CC(O)=NC2=CC=CC=C12)O	C10H7NO3	C10H7NO3	189.04259308874998
4-hydroxybenzoic-acid	O=C(O)C1=CC=C(O)C=C1	O=C(O)C1=CC=C(O)C=C1	C7H6O3	C7H6O3	138.03169405209002
3-hydroxy-4-methoxy-cinnamic-acid	O=C(O)C=CC1=CC=C(OC)C(O)=C1	O=C(O)C=CC1=CC=C(OC)C(O)=C1	C10H10O4	C10H10O4	194.05790880058
2,5 dihydrobenzoic-acid	O=C(O)C1=CCC=CC1	O=C(O)C1=CCC=CC1	C7H8O2	C7H8O2	124.05242949698
amoxicillin	O=C(O)[C@H](N1C2=O)C(C)(S[C@@]1([C@@H]2NC(C(C3=CC=C(O)C=C3)N)=O)[H])C	O=C(O)[C@H](N1C2=O)C(C)(S[C@@]1([C@@H]2NC(C(C3=CC=C(O)C=C3)N)=O)[H])C	C16H19N3O5S	C16H19N3O5S	365.10454189791
nalidixic-acid	CCN1C=C(C(C2=C1N=C(C=C2)C)=O)C(O)=O	CCN1C=C(C(C2=C1N=C(C=C2)C)=O)C(O)=O	C12H12N2O3	C12H12N2O3	232.08479225433
2,3-diaminopropionic-acid	O=C(O)C(N)CN	O=C(O)C(N)CN	C3H8N2O2	C3H8N2O2	104.05857750584
5-methylindole-3-carboxaldehyde	O=CC1=CNC2=C1C=C(C)C=C2	O=CC1=CNC2=C1C=C(C)C=C2	C10H9NO	C10H9NO	159.06841391407
dehydroepiandrosterone	O[C@H](CC1=CC[C@@]2([H])[C@]3([H])CC4)CC[C@]1(C)[C@@]2([H])CC[C@]3(C)C4=O	O[C@H](CC1=CC[C@@]2([H])[C@]3([H])CC4)CC[C@]1(C)[C@@]2([H])CC[C@]3(C)C4=O	C19H28O2	C19H28O2	288.20893014158
cholesterol	CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C	CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C	C27H46O	C27H46O	386.35486610215
methyl 4-hydroxyphenylacetate	O=C(OC)CC1=CC=C(O)C=C1	O=C(OC)CC1=CC=C(O)C=C1	C9H10O3	C9H10O3	166.06299418101
3-hydroxybenzaldehyde	O=CC1=CC=CC(O)=C1	O=CC1=CC=CC(O)=C1	C7H6O2	C7H6O2	122.03677943252
estrone	OC(C=C1)=CC(CC[C@@]2([H])[C@]3([H])CC4)=C1[C@@]2([H])CC[C@]3(C)C4=O	OC(C=C1)=CC(CC[C@@]2([H])[C@]3([H])CC4)=C1[C@@]2([H])CC[C@]3(C)C4=O	C18H22O2	C18H22O2	270.1619799482
catechol	OC1=CC=CC=C1O	OC1=CC=CC=C1O	C6H6O2	C6H6O2	110.03677943252
(r)-(-)-methyl mandelate	O[C@H](C1=CC=CC=C1)C(OC)=O	O[C@H](C1=CC=CC=C1)C(OC)=O	C9H10O3	C9H10O3	166.06299418101
benzyl alcohol	OCC1=CC=CC=C1	OCC1=CC=CC=C1	C7H8O	C7H8O	108.05751487741
tetraethylene glycol	OCCOCCOCCOCCO	OCCOCCOCCOCCO	C8H18O5	C8H18O5	194.11542367799
p-cresol	CC1=CC=C(O)C=C1	CC1=CC=C(O)C=C1	C7H8O	C7H8O	108.05751487741
2,6-di-tert-butyl-4-methylphenol	OC1=C(C(C)(C)C)C=C(C)C=C1C(C)(C)C	OC1=C(C(C)(C)C)C=C(C)C=C1C(C)(C)C	C15H24O	C15H24O	220.18271539309
4-methyl-2-nitrophenol	OC1=CC=C(C)C=C1[N+]([O-])=O	OC1=CC=C(C)C=C1[N+]([O-])=O	C7H7NO3	C7H7NO3	153.04259308874998
cinchonine	O[C@H]([C@@H]1C[C@H]2[C@H](C[N@@]1CC2)C=C)C3=CC=NC4=CC=CC=C34	O[C@H]([C@@H]1C[C@H]2[C@H](C[N@@]1CC2)C=C)C3=CC=NC4=CC=CC=C34	C19H22N2O	C19H22N2O	294.17321333749
3,4-dimethoxy-5-hydroxybenzaldehyde	O=CC/C=C(OC)\C(OC)=C\O	O=CC/C=C(OC)\C(OC)=C\O	C8H12O4	C8H12O4	172.07355886504
4-hydroxybenzaldehyde	C/C(C=O)=C\C=C\O	C/C(C=O)=C\C=C\O	C6H8O2	C6H8O2	112.05242949698
kojic acid	OC1=COC(CO)=CC1=O	OC1=COC(CO)=CC1=O	C6H6O4	C6H6O4	142.02660867166
d(-)-fructose	OCC([C@H]([C@@H]([C@@H](CO)O)O)O)=O	OCC([C@H]([C@@H]([C@@H](CO)O)O)O)=O	C6H12O6	C6H12O6	180.06338810418
farnesol	CC(CCC=C(CC/C=C(C)\C)C)=CCO	CC(CCC=C(CC/C=C(C)\C)C)=CCO	C15H26O	C15H26O	222.19836545754998
d-mannitol	OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O	OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O	C6H14O6	C6H14O6	182.07903816864
2′,4′-dihydroxyacetophenone	CC(C1=CC=C(O)C=C1O)=O	CC(C1=CC=C(O)C=C1O)=O	C8H8O3	C8H8O3	152.04734411655
syringaldehyde	OC(C(OC)=CC(C=O)=C1)=C1OC	OC(C(OC)=CC(C=O)=C1)=C1OC	C9H10O4	C9H10O4	182.05790880058
d(+)-galactose	O=C[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O	O=C[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O	C6H12O6	C6H12O6	180.06338810418
l(-)-menthol	OC1C(C(C)C)CCC(C1)C	OC1C(C(C)C)CCC(C1)C	C10H20O	C10H20O	156.15141526417
2-hydroxy-4-methoxybenzaldehyde	O=CC1=CC=C(OC)C=C1O	O=CC1=CC=C(OC)C=C1O	C8H8O3	C8H8O3	152.04734411655
bisphenol a	OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O	OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O	C15H16O2	C15H16O2	228.11502975482
(+)-α-tocopherol	CC1=C2C(O[C@@](C)(CC2)CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)=C(C(C)=C1O)C	CC1=C2C(O[C@@](C)(CC2)CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)=C(C(C)=C1O)C	C29H50O2	C29H50O2	430.38108085064
hydroquinone	OC1=CC=C(O)C=C1	OC1=CC=C(O)C=C1	C6H6O2	C6H6O2	110.03677943252
2-decanol	CC(O)CCCCCCCC	CC(O)CCCCCCCC	C10H22O	C10H22O	158.16706532863
1-pentanol	CCCCCO	CCCCCO	C5H12O	C5H12O	88.08881500633001
1-octadecanol	CCCCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCCCCO	C18H38O	C18H38O	270.29226584431
2-methyl-3-pentanol	CC(C)C(O)CC	CC(C)C(O)CC	C6H14O	C6H14O	102.10446507079
lauryl alcohol	CCCCCCCCCCCCO	CCCCCCCCCCCCO	C12H26O	C12H26O	186.19836545754998
behenyl alcohol	CCCCCCCCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCCCCCCCCO	C22H46O	C22H46O	326.35486610215
chimyl alcohol	OC[C@@H](COCCCCCCCCCCCCCCCC)O	OC[C@@H](COCCCCCCCCCCCCCCCC)O	C19H40O3	C19H40O3	316.29774514791
1,2-butanediol	CCC(O)CO	CCC(O)CO	C4H10O2	C4H10O2	90.06807956144
3-methyl-2-butanol	CC(O)C(C)C	CC(O)C(C)C	C5H12O	C5H12O	88.08881500633001
1-hepatanol	CCCCCCCO	CCCCCCCO	C7H16O	C7H16O	116.12011513525
2-butene-1,4-diol	OCC=CCO	OCC=CCO	C4H8O2	C4H8O2	88.05242949698
2-nonanol	CC(O)CCCCCCC	CC(O)CCCCCCC	C9H20O	C9H20O	144.15141526417
(z)-4-decen-1-ol	CCCCC/C=C\CCCO	CCCCC/C=C\CCCO	C10H20O	C10H20O	156.15141526417
1-octacosanol	CCCCCCCCCCCCCCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCCCCCCCCCCCCCCO	C28H58O	C28H58O	410.44876648891
5-nonanol	CCCCC(O)CCCC	CCCCC(O)CCCC	C9H20O	C9H20O	144.15141526417
2-methyl-3-buten-2-ol	CC(O)(C)C=C	CC(O)(C)C=C	C5H10O	C5H10O	86.07316494187
3-methyl-2-buten-1-ol	C/C(C)=C\CO	C/C(C)=C\CO	C5H10O	C5H10O	86.07316494187
2-amino-2-methyl-1-propanol	CC(C)(N)CO	CC(C)(N)CO	C4H11NO	C4H11NO	89.08406397853
2-dodecanol	CC(O)CCCCCCCCCC	CC(O)CCCCCCCCCC	C12H26O	C12H26O	186.19836545754998
1,3-propanediol	OCCCO	OCCCO	C3H8O2	C3H8O2	76.05242949698
1,2,6-trihydroxyhexane	OCCCCC(O)CO	OCCCCC(O)CO	C6H14O3	C6H14O3	134.09429430993
1,8-octanediol	OCCCCCCCCO	OCCCCCCCCO	C8H18O2	C8H18O2	146.13067981928
2,3-butanediol	CC(O)C(O)C	CC(O)C(O)C	C4H10O2	C4H10O2	90.06807956144
(s)-(+)-2-hexanol	C[C@H](O)CCCC	C[C@H](O)CCCC	C6H14O	C6H14O	102.10446507079
2-heptanol	CC(O)CCCCC	CC(O)CCCCC	C7H16O	C7H16O	116.12011513525
2-ethylphenol	OC1=CC=CC=C1CC	OC1=CC=CC=C1CC	C8H10O	C8H10O	122.07316494187
2-methyl-2-propanol	CC(O)(C)C	CC(O)(C)C	C4H10O	C4H10O	74.07316494187
2-deccen-1-ol	CCCCCCCC=CCO	CCCCCCCC=CCO	C10H20O	C10H20O	156.15141526417
hexadecene	C=CCCCCCCCCCCCCCC	C=CCCCCCCCCCCCCCC	C16H32	C16H32	224.25040103136
(s)-(-)-2-methyl-1-butanol	CC[C@H](C)CO	CC[C@H](C)CO	C5H12O	C5H12O	88.08881500633001
dl-2-octanol	CC(O)CCCCCC	CC(O)CCCCCC	C8H18O	C8H18O	130.13576519971
1-hexacosanol	CCCCCCCCCCCCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCCCCCCCCCCCCO	C26H54O	C26H54O	382.41746635999
2,4-decadien-1-ol	CCCCCC=CC=CCO	CCCCCC=CC=CCO	C10H18O	C10H18O	154.13576519971
1-triacontanol	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO	C30H62O	C30H62O	438.48006661783
methyl vanillate	COC1=CC(C(OC)=O)=CC=C1O	COC1=CC(C(OC)=O)=CC=C1O	C9H10O4	C9H10O4	182.05790880058
2-nitroaniline	NC1=CC=CC=C1[N+]([O-])=O	NC1=CC=CC=C1[N+]([O-])=O	C6H6N2O2	C6H6N2O2	138.04292744138002
2,5-difluoro-2-nitroaniline	FC1=C(F)C=C([N+]([O-])=O)C(N)=C1	FC1=C(F)C=C([N+]([O-])=O)C(N)=C1	C6H4F2N2O2	C6H4F2N2O2	174.02408370237998
3,4-dichloroaniline	NC1=CC=C(Cl)C(Cl)=C1	Nc1ccc(Cl)c(Cl)c1	C6H5Cl2N	C6H5Cl2N	160.97990452957998
3,5-bistrifluoromethyl benzylamine	NCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1	NCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1	C9H7F6N	C9H7F6N	243.04826820642
3,4-dimethylaniline	NC1=CC=C(C)C(C)=C1	NC1=CC=C(C)C(C)=C1	C8H11N	C8H11N	121.08914935896
p-mitroaniline	NC1=CC=C([N+]([O-])=O)C=C1	NC1=CC=C([N+]([O-])=O)C=C1	C6H6N2O2	C6H6N2O2	138.04292744138002
2,4-dimethoxybenzyl amine	NCC1=CC=C(OC)C=C1OC	NCC1=CC=C(OC)C=C1OC	C9H13NO2	C9H13NO2	167.09462866256
2,4,6-tribromoaniline	NC1=C(Br)C=C(Br)C=C1Br	NC1=C(Br)C=C(Br)C=C1Br	C6H4Br3N	C6H4Br3N	326.78938693335
2-iodoaniline	NC1=CC=CC=C1I	NC1=CC=CC=C1I	C6H6IN	C6H6IN	218.95449609781002
4-fluorobenzylamine	NCC1=CC=C(F)C=C1	NCC1=CC=C(F)C=C1	C7H8FN	C7H8FN	125.064077425
4-trifluoromethylbenzylamine	NCC1=CC=C(C(F)(F)F)C=C1	NCC1=CC=C(C(F)(F)F)C=C1	C8H8F3N	C8H8F3N	175.06088375046
n,n-dimethyl-4,4-azo dianiline	NC1=CC=C(N=NC2=CC=C(C=C2)N(C)C)C=C1	NC1=CC=C(N=NC2=CC=C(C=C2)N(C)C)C=C1	C14H16N4	C14H16N4	240.1374965334
l-alpha-methylbenzylamine	NC(C)C(/C=C)=C/C	NC(C)C(/C=C)=C/C	C7H13N	C7H13N	111.10479942341999
3,4-dimethoxybenzyl amine	NCC1=CC=C(OC)C(OC)=C1	NCC1=CC=C(OC)C(OC)=C1	C9H13NO2	C9H13NO2	167.09462866256
n-methyl-n-[4-(trifluoromethyl)benzyl]amine	FC(C1=CC=C(C=C1)CNC)(F)F	FC(C1=CC=C(C=C1)CNC)(F)F	C9H10F3N	C9H10F3N	189.07653381492
3-chloroaniline	NC1=CC=CC(Cl)=C1	Nc1cccc(Cl)c1	C6H6ClN	C6H6ClN	127.01887687981
2,4,6-trimethylaniline	NC1=C(C)C=C(C)C=C1C	NC1=C(C)C=C(C)C=C1C	C9H13N	C9H13N	135.10479942342
2-fluoroaniline	NC1=CC=CC=C1F	NC1=CC=CC=C1F	C6H6FN	C6H6FN	111.04842736053999
2,6-difluoroaniline	NC1=C(F)C=CC=C1F	NC1=C(F)C=CC=C1F	C6H5F2N	C6H5F2N	129.03900549104
3,5-dimethoxyaniline	NC1=CC(OC)=CC(OC)=C1	NC1=CC(OC)=CC(OC)=C1	C8H11NO2	C8H11NO2	153.07897859809998
4-amino-2,6-dichlorophenol	OC1=C(Cl)C=C(N)C=C1Cl	Nc1cc(Cl)c(O)c(Cl)c1	C6H5Cl2NO	C6H5Cl2NO	176.97481914915
4-fluoroaniline	NC1=CC=C(F)C=C1	NC1=CC=C(F)C=C1	C6H6FN	C6H6FN	111.04842736053999
pyrazin-2-amine	NC1=NC=CN=C1	NC1=NC=CN=C1	C4H5N3	C4H5N3	95.04834717444
4-methoxybenzylamine	NCC1=CC=C(OC)C=C1	NCC1=CC=C(OC)C=C1	C8H11NO	C8H11NO	137.08406397853
4-bromoaniline	NC1=CC=C(Br)C=C1	NC1=CC=C(Br)C=C1	C6H6BrN	C6H6BrN	170.96836179781002
4-ethyl aniline	NC1=CC=C(CC)C=C1	NC1=CC=C(CC)C=C1	C8H11N	C8H11N	121.08914935896
4-fluorophenylhydrozin hydrochloric acid	NNC1=CC=C(F)C=C1.Cl	Cl.NNc1ccc(F)cc1	C6H8ClFN2	C6H8ClFN2	162.03600411142997
diethanolamine	OCCNCCO	OCCNCCO	C4H11NO2	C4H11NO2	105.0789785981
piperazine	N1CCNCC1	N1CCNCC1	C4H10N2	C4H10N2	86.08439833116
3-metylindole	CC1=CNC2=C1C=CC=C2	CC1=CNC2=C1C=CC=C2	C9H9N	C9H9N	131.0734992945
etylenediamine	C=C(N)N	C=C(N)N	C2H6N2	C2H6N2	58.05309820224
3-(methylthio)propylamine	NCCCSC	NCCCSC	C4H11NS	C4H11NS	105.06122053336
benzamide	O=C(N)C1=CC=CC=C1	O=C(N)C1=CC=CC=C1	C7H7NO	C7H7NO	121.05276384961
4-isopropylaniline	NC1=CC=C(C(C)C)C=C1	NC1=CC=C(C(C)C)C=C1	C9H13N	C9H13N	135.10479942342
isoamylamine	NCCC(C)C	NCCC(C)C	C5H13N	C5H13N	87.10479942341999
isobutylamine	NCC(C)C	NCC(C)C	C4H11N	C4H11N	73.08914935896
2-acetylpyrrole	O=C(C1=CC=CN1)C	O=C(C1=CC=CN1)C	C6H7NO	C6H7NO	109.05276384961
3-methoxytyramine	NCCC1=CC(OC)=C(C=C1)O	NCCC1=CC(OC)=C(C=C1)O	C9H13NO2	C9H13NO2	167.09462866256
4,4'-triethylenedipiperidine	C1(CCCC2=CC=NC=C2)=CC=NC=C1	C1(CCCC2=CC=NC=C2)=CC=NC=C1	C13H14N2	C13H14N2	198.11569846008
2-pyrrolidone	O=C1NCCC1	O=C1NCCC1	C4H7NO	C4H7NO	85.05276384961
morpholine	N1CCOCC1	N1CCOCC1	C4H9NO	C4H9NO	87.06841391406999
p-anisidine	NC1=CC=C(OC)C=C1	NC1=CC=C(OC)C=C1	C7H9NO	C7H9NO	123.06841391406999
aniline	NC1=CC=CC=C1	NC1=CC=CC=C1	C6H7N	C6H7N	93.05784923004
hexylamine	NCCCCCC	NCCCCCC	C6H15N	C6H15N	101.12044948788
indoline	C12=C(NCC2)C=CC=C1	C12=C(NCC2)C=CC=C1	C8H9N	C8H9N	119.0734992945
hypoxanthine	OC1=C2NC=NC2=NC=N1	OC1=C2NC=NC2=NC=N1	C5H4N4O	C5H4N4O	136.03851076620998
benzyl amine	NCC1=CC=CC=C1	NCC1=CC=CC=C1	C7H9N	C7H9N	107.0734992945
indole	C12=C(NC=C2)C=CC=C1	C12=C(NC=C2)C=CC=C1	C8H7N	C8H7N	117.05784923004
acrylamide	C=CC(N)=O	C=CC(N)=O	C3H5NO	C3H5NO	71.03711378515
2-aminophenol	OC1=CC=CC=C1N	OC1=CC=CC=C1N	C6H7NO	C6H7NO	109.05276384961
homoserine	N[C@@H](CCO)C(O)=O	N[C@@H](CCO)C(O)=O	C4H9NO3	C4H9NO3	119.05824315321
dimethylamine	CNC	CNC	C2H7N	C2H7N	45.05784923004
4-thiazolidine-carboxylic-acid	OC(=O)C1CSCN1	OC(=O)C1CSCN1	C4H7NO2S	C4H7NO2S	133.01974964357998
3-(1h-1,2,3,4-tetrazol-1-yl)benzoic-acid	OC(=O)c1cccc(c1)n2cnnn2	OC(=O)c1cccc(c1)n2cnnn2	C8H6N4O2	C8H6N4O2	190.04907545024
2-fluoro(1,1-biphenyl)4-carboxylic-acid	OC(=O)c1ccc(c(F)c1)c2ccccc2	OC(=O)c1ccc(c(F)c1)c2ccccc2	C13H9FO2	C13H9FO2	216.05865769194
furan-2-carboxylic-acid	OC(=O)c1occc1	OC(=O)c1occc1	C5H4O3	C5H4O3	112.01604398763001
salicylic-acid	OC(=O)c1ccccc1O	OC(=O)c1ccccc1O	C7H6O3	C7H6O3	138.03169405209002
1h-indole-2-carboxylic-acid	OC(=O)c1[nH]c2ccccc2c1	OC(=O)c1[nH]c2ccccc2c1	C9H7NO2	C9H7NO2	161.04767846918
3,5-dimethylbenzoic-acid	Cc1cc(C)cc(c1)C(O)=O	Cc1cc(C)cc(c1)C(O)=O	C9H10O2	C9H10O2	150.06807956144002
indole-3-butyric-acid	OC(=O)CCCc1c[nH]c2ccccc12	OC(=O)CCCc1c[nH]c2ccccc12	C12H13NO2	C12H13NO2	203.09462866256
2,3-dimethylbutyric-acid	CC(C)C(C)C(O)=O	CC(C)C(C)C(O)=O	C6H12O2	C6H12O2	116.08372962589999
6-hydroxy-hexanoic-acid	OCCCCCC(O)=O	OCCCCCC(O)=O	C6H12O3	C6H12O3	132.07864424547
formic-acid	O=CO	O=CO	CH2O2	CH2O2	46.0054793036
quinaldic-acid	OC(=O)c1ccc2ccccc2n1	OC(=O)c1ccc2ccccc2n1	C10H7NO2	C10H7NO2	173.04767846918
fluorobenzoic-acid	OC(=O)c1ccccc1F	OC(=O)c1ccccc1F	C7H5FO2	C7H5FO2	140.02735756302002
flurbiprofen	CC(C(O)=O)c1ccc(c(F)c1)c2ccccc2	CC(C(O)=O)c1ccc(c(F)c1)c2ccccc2	C15H13FO2	C15H13FO2	244.08995782086
5-chloro-2-methylbenzoic-acid	Cc1ccc(Cl)cc1C(O)=O	Cc1ccc(Cl)cc1C(=O)O	C8H7ClO2	C8H7ClO2	170.01345714675
7-bromoheptanoic-acid	O=C(O)CCCCCCBr	O=C(O)CCCCCCBr	C7H13BrO2	C7H13BrO2	208.00989225812998
ferrocenecarboxylic-acid	[CH-]1C=CC=C1.C1=C[C-](C=C1)C(=O)O.[Fe+2]	[CH-]1C=CC=C1.C1=C[C-](C=C1)C(=O)O.[Fe+2]	C11H10FeO2	C11H10FeO2	230.00301589144
2-iodobenzoic-acid	OC(=O)c1ccccc1I	OC(=O)c1ccccc1I	C7H5IO2	C7H5IO2	247.93342630029
2-(4-isobutylphenyl)propionic-acid	CC(C)Cc1ccc(cc1)C(C)C(O)=O	CC(C)Cc1ccc(cc1)C(C)C(O)=O	C13H18O2	C13H18O2	206.13067981928
2-hydroxy-nicotinic-acid	OC(=O)c1cccnc1O	OC(=O)c1cccnc1O	C6H5NO3	C6H5NO3	139.02694302429
4h,-5h,-6h-cyclopenta[b]thiophene-s-carboxylic-acid	O=C(S1C=CC2=C1CCC2)O	O=C(S1C=CC2=C1CCC2)O	C8H10O2S	C8H10O2S	170.04015073584
3(p-tolyl)propionic-acid	Cc1ccc(CCC(O)=O)cc1	Cc1ccc(CCC(O)=O)cc1	C10H12O2	C10H12O2	164.0837296259
4-fluoro-2-methylbenzoic-acid	Cc1cc(F)ccc1C(O)=O	Cc1cc(F)ccc1C(O)=O	C8H7FO2	C8H7FO2	154.04300762748
4-aceto-3-nitrophenylacetic-acid	O=C(O)CC1=CC=C(C(C)=O)C([N+]([O-])=O)=C1	O=C(O)CC1=CC=C(C(C)=O)C([N+]([O-])=O)=C1	C10H9NO5	C10H9NO5	223.04807239235
6-heptynoic-acid	OC(=O)CCCCC#C	OC(=O)CCCCC#C	C7H10O2	C7H10O2	126.06807956144
4-acetylbutyric-acid	CC(=O)CCCC(O)=O	CC(=O)CCCC(O)=O	C6H10O3	C6H10O3	130.06299418101
4-ethynyl-benzoic-acid	OC(=O)c1ccc(cc1)C#C	OC(=O)c1ccc(cc1)C#C	C9H6O2	C9H6O2	146.03677943252
3-pyridazinecarboxylic-acid	OC(=O)c1cccnn1	OC(=O)c1cccnn1	C5H4N2O2	C5H4N2O2	124.02727737692
2-fluoronicotinic-acid	OC(=O)c1cccnc1F	OC(=O)c1cccnc1F	C6H4FNO2	C6H4FNO2	141.02260653522
2-bromobenzoic-acid	OC(=O)c1ccccc1Br	OC(=O)c1ccccc1Br	C7H5BrO2	C7H5BrO2	199.94729200029
2-chloro-6-methylbenzoic-acid	Cc1cccc(Cl)c1C(O)=O	Cc1cccc(Cl)c1C(=O)O	C8H7ClO2	C8H7ClO2	170.01345714675
4-trifluoromethyl-benzoic-acid	OC(=O)c1ccc(cc1)C(F)(F)F	OC(=O)c1ccc(cc1)C(F)(F)F	C8H5F3O2	C8H5F3O2	190.02416388848
anisic-acid	COc1ccc(cc1)C(O)=O	COc1ccc(cc1)C(O)=O	C8H8O3	C8H8O3	152.04734411655
2,6-dichloroisonicotinic-acid	OC(=O)c1cc(Cl)nc(Cl)c1	O=C(O)c1cc(Cl)nc(Cl)c1	C6H3Cl2NO2	C6H3Cl2NO2	190.95408370426
2-chloro-4-iodobenzoic-acid	OC(=O)c1ccc(I)cc1Cl	O=C(O)c1ccc(I)cc1Cl	C7H4ClIO2	C7H4ClIO2	281.89445395006
4-methoxy-2-methylbenzoic-acid	COc1ccc(C(O)=O)c(C)c1	COc1ccc(C(O)=O)c(C)c1	C9H10O3	C9H10O3	166.06299418101
p-toluic-acid	Cc1ccc(cc1)C(O)=O	Cc1ccc(cc1)C(O)=O	C8H8O2	C8H8O2	136.05242949697998
1-(tert-butoxycarbonyl)piperdine-3-carboxylic-acid	O=C(C1CN(C(OC(C)(C)C)=O)CCC1)O	O=C(C1CN(C(OC(C)(C)C)=O)CCC1)O	C11H19NO4	C11H19NO4	229.13140809508002
1-adamantanecarboxylic-acid	OC(=O)C12CC3CC(CC(C3)C1)C2	OC(=O)C12CC3CC(CC(C3)C1)C2	C11H16O2	C11H16O2	180.11502975482
2-pyrazinecarboxylic-acid	OC(=O)c1cnccn1	OC(=O)c1cnccn1	C5H4N2O2	C5H4N2O2	124.02727737692
3,5-difluorobenzoic-acid	OC(=O)c1cc(F)cc(F)c1	OC(=O)c1cc(F)cc(F)c1	C7H4F2O2	C7H4F2O2	158.01793569351997
m-tolyacetic-acid	O=C(O)CC1=CC=CC(C)=C1	O=C(O)CC1=CC=CC(C)=C1	C9H10O2	C9H10O2	150.06807956144002
o-acetyl-mandelic-acid	CC(=O)OC(C1=CC=CC=C1)C(=O)O	CC(=O)OC(C1=CC=CC=C1)C(=O)O	C10H10O4	C10H10O4	194.05790880058
2-methyl-3-furoic-acid	Cc1occc1C(O)=O	Cc1occc1C(O)=O	C6H6O3	C6H6O3	126.03169405209
cyclohexanecarboxylic-acid	OC(=O)C1CCCCC1	OC(=O)C1CCCCC1	C7H12O2	C7H12O2	128.0837296259
4-ethyl-benzoic-acid	CCc1ccc(cc1)C(O)=O	CCc1ccc(cc1)C(O)=O	C9H10O2	C9H10O2	150.06807956144002
4-tolyacetic-acid	O=C(O)CC1=CC=C(C)C=C1	O=C(O)CC1=CC=C(C)C=C1	C9H10O2	C9H10O2	150.06807956144002
2,3-dimethylbenzoic-acid	O=C(O)C1=CC=CC(C)=C1C	O=C(O)C1=CC=CC(C)=C1C	C9H10O2	C9H10O2	150.06807956144002
4-nitrobenzoic-acid	OC(=O)c1ccc(cc1)[N+]([O-])=O	OC(=O)c1ccc(cc1)[N+]([O-])=O	C7H5NO4	C7H5NO4	167.02185764386002
glycolic-acid	OCC(O)=O	OCC(O)=O	C2H4O3	C2H4O3	76.01604398763001
